key,paper,bmp,response_class,response_var,treatment,control,sign,treatment_control_flag,response_flag,species,error_class,model,test_statistic,test_stat_value,response_dir,df,global_n,global_sd,global_se,global_lcl,global_ucl,treatment_df,treatment_n,treatment_sd,treatment_se,control_df,control_n,control_sd,control_se,notes
LGTIZWRQ,Aitken and Martin,install_nest_boxes,abundance,nest density,1-year post-nest box installation,Pre-nest box installation,1,apples,0,bird_and_mammal_species,NA,Linear mixed effects model,t,-8.69,-1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,lark_bunting,NA,t-test,t,-5.92,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,western_meadowlark,NA,t-test,t,-3.28,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,grasshopper_sparrow,NA,t-test,t,-2.85,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,horned_lark,NA,t-test,t,-1.59,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,mccowns_longspur,NA,t-test,t,1.6,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
GS4TG5A4,Augustine and Derner 2015,prescribed_fire; manage_in_patches,abundance,Density,Recently burned fields,Unburned fields,1,apples,0,mountain_plover,NA,t-test,t,6.6,1,45,27,NA,NA,NA,NA,NA,12,NA,NA,NA,15,NA,NA,Usable -- converts to effect size without issue
QADRA6RL,Bollinger et al. 1990,delay_hay,nest_success,abandonment,Pre-haying,1-day post-haying,1,grapes,1,bobolink,NA,chi-square,chi-square,33.6,1,1,94,NA,NA,NA,NA,NA,31,NA,NA,NA,63,NA,NA,Not usable -- There are less nests post-nesting because the number does not include nests that were destroyed during haying
QADRA6RL,Bollinger et al. 1990,delay_hay,nest_success,nest_predation,Pre-haying,2-days post-haying,1,grapes,1,bobolink,NA,chi-square,chi-square,12.1,1,1,85,NA,NA,NA,NA,NA,25,NA,NA,NA,63,NA,NA,Not usable -- They do not explain what the 25 is ... perhaps this represents the subset of nests that were not abandoned? Does not add up!
XYR2I4ZX,Britschgi et al. 2006,delay_hay,nest_success,fledging_rate,Traditional plots,Intensive plots,1,apples,1,whinchat,NA,Mann-Whitney U-test,Z,2.14,1,NA,17,NA,NA,NA,NA,NA,9,NA,NA,NA,8,NA,NA,"Not usable -- cannot convert rank test to effect size; The text suggests that intensively managed fields have earlier hay dates, but they do not demonstrate this"
